data1,data2,data3,label
-665.0,-14.0,975.0,leftright
-716.0,-19.0,1017.0,leftright
-604.0,1.0,1019.0,leftright
-525.0,-16.0,1013.0,leftright
-669.0,-9.0,1029.0,leftright
-644.0,16.0,971.0,leftright
-584.0,10.0,981.0,leftright
-518.0,-18.0,991.0,leftright
-443.0,-2.0,1042.0,leftright
-363.0,-21.0,995.0,leftright
-272.0,-48.0,997.0,leftright
-189.0,-66.0,1003.0,leftright
-72.0,-56.0,976.0,leftright
-11.0,-44.0,998.0,leftright
58.0,-23.0,1047.0,leftright
82.0,-24.0,983.0,leftright
119.0,-30.0,1005.0,leftright
135.0,-9.0,1024.0,leftright
166.0,-8.0,992.0,leftright
248.0,-1.0,990.0,leftright
305.0,-22.0,1002.0,leftright
367.0,-33.0,999.0,leftright
396.0,-16.0,1023.0,leftright
385.0,-2.0,988.0,leftright
376.0,-12.0,1008.0,leftright
366.0,-12.0,998.0,leftright
390.0,0.0,994.0,leftright
406.0,-3.0,998.0,leftright
440.0,21.0,1005.0,leftright
365.0,39.0,1019.0,leftright
421.0,-125.0,995.0,leftright
465.0,10.0,1006.0,leftright
476.0,21.0,1002.0,leftright
454.0,-2.0,1001.0,leftright
411.0,0.0,993.0,leftright
347.0,18.0,1037.0,leftright
283.0,14.0,992.0,leftright
230.0,11.0,988.0,leftright
182.0,30.0,1023.0,leftright
148.0,38.0,981.0,leftright
96.0,19.0,1016.0,leftright
8.0,-8.0,995.0,leftright
-82.0,-21.0,1001.0,leftright
-168.0,-37.0,1007.0,leftright
-265.0,-45.0,1022.0,leftright
-342.0,-51.0,974.0,leftright
-474.0,-59.0,1011.0,leftright
-614.0,-49.0,995.0,leftright
-641.0,-18.0,990.0,leftright
-656.0,0.0,993.0,leftright
-561.0,60.0,1008.0,leftright
-533.0,-46.0,1008.0,leftright
-550.0,-22.0,1011.0,leftright
-482.0,16.0,997.0,leftright
-376.0,28.0,1038.0,leftright
-288.0,24.0,992.0,leftright
-177.0,35.0,994.0,leftright
-147.0,23.0,972.0,leftright
