data1,data2,data3,label
-9.0,279.0,964.0,idle
0.0,274.0,957.0,idle
-1.0,285.0,957.0,idle
-8.0,310.0,947.0,idle
-13.0,317.0,938.0,idle
-4.0,319.0,931.0,idle
-2.0,339.0,937.0,idle
-10.0,356.0,946.0,idle
-15.0,351.0,947.0,idle
-1.0,355.0,948.0,idle
-1.0,365.0,947.0,idle
-12.0,369.0,940.0,idle
-7.0,361.0,917.0,idle
-10.0,364.0,909.0,idle
-14.0,389.0,913.0,idle
-8.0,395.0,936.0,idle
-3.0,388.0,958.0,idle
0.0,382.0,965.0,idle
0.0,378.0,966.0,idle
4.0,377.0,960.0,idle
9.0,375.0,951.0,idle
-1.0,400.0,942.0,idle
-23.0,429.0,954.0,idle
-23.0,439.0,956.0,idle
-27.0,448.0,949.0,idle
-29.0,441.0,948.0,idle
-8.0,417.0,955.0,idle
8.0,400.0,967.0,idle
8.0,396.0,952.0,idle
6.0,404.0,936.0,idle
3.0,416.0,934.0,idle
2.0,415.0,930.0,idle
9.0,408.0,917.0,idle
8.0,406.0,910.0,idle
6.0,399.0,904.0,idle
3.0,398.0,891.0,idle
-1.0,411.0,878.0,idle
0.0,417.0,892.0,idle
0.0,421.0,911.0,idle
-4.0,425.0,912.0,idle
-5.0,415.0,910.0,idle
-4.0,412.0,897.0,idle
1.0,399.0,893.0,idle
11.0,398.0,916.0,idle
17.0,411.0,929.0,idle
12.0,430.0,934.0,idle
18.0,438.0,941.0,idle
17.0,438.0,937.0,idle
24.0,424.0,923.0,idle
19.0,420.0,908.0,idle
17.0,420.0,888.0,idle
15.0,420.0,888.0,idle
26.0,427.0,907.0,idle
28.0,429.0,939.0,idle
29.0,429.0,937.0,idle
27.0,418.0,927.0,idle
19.0,420.0,922.0,idle
9.0,432.0,918.0,idle
5.0,432.0,910.0,idle
16.0,426.0,895.0,idle
16.0,432.0,883.0,idle
16.0,430.0,888.0,idle
22.0,427.0,885.0,idle
28.0,424.0,889.0,idle
33.0,417.0,903.0,idle
26.0,420.0,909.0,idle
19.0,435.0,908.0,idle
17.0,437.0,910.0,idle
22.0,428.0,909.0,idle
25.0,425.0,907.0,idle
29.0,415.0,908.0,idle
36.0,413.0,908.0,idle
42.0,411.0,912.0,idle
48.0,401.0,914.0,idle
55.0,389.0,913.0,idle
65.0,374.0,907.0,idle
61.0,384.0,897.0,idle
62.0,387.0,889.0,idle
65.0,387.0,871.0,idle
68.0,398.0,875.0,idle
47.0,436.0,906.0,idle
39.0,453.0,923.0,idle
31.0,469.0,955.0,idle
10.0,487.0,979.0,idle
10.0,464.0,1003.0,idle
16.0,427.0,990.0,idle
16.0,421.0,960.0,idle
2.0,427.0,960.0,idle
-10.0,408.0,919.0,idle
4.0,402.0,866.0,idle
24.0,392.0,881.0,idle
26.0,376.0,894.0,idle
-13.0,436.0,905.0,idle
32.0,422.0,896.0,idle
37.0,399.0,914.0,idle
45.0,396.0,939.0,idle
58.0,378.0,955.0,idle
66.0,367.0,953.0,idle
60.0,382.0,957.0,idle
70.0,381.0,949.0,idle
71.0,363.0,910.0,idle
61.0,368.0,873.0,idle
61.0,370.0,868.0,idle
71.0,366.0,887.0,idle
68.0,383.0,909.0,idle
51.0,409.0,917.0,idle
49.0,407.0,904.0,idle
63.0,394.0,899.0,idle
74.0,387.0,908.0,idle
79.0,375.0,902.0,idle
83.0,381.0,894.0,idle
73.0,410.0,892.0,idle
72.0,418.0,870.0,idle
75.0,411.0,843.0,idle
72.0,417.0,830.0,idle
72.0,421.0,841.0,idle
75.0,425.0,855.0,idle
72.0,440.0,863.0,idle
75.0,453.0,870.0,idle
88.0,438.0,907.0,idle
103.0,426.0,915.0,idle
109.0,417.0,910.0,idle
96.0,437.0,876.0,idle
67.0,472.0,865.0,idle
61.0,492.0,868.0,idle
62.0,506.0,861.0,idle
66.0,510.0,865.0,idle
67.0,513.0,882.0,idle
78.0,502.0,887.0,idle
87.0,493.0,890.0,idle
92.0,495.0,891.0,idle
91.0,501.0,916.0,idle
96.0,514.0,940.0,idle
95.0,507.0,928.0,idle
97.0,505.0,916.0,idle
100.0,508.0,909.0,idle
87.0,512.0,885.0,idle
85.0,500.0,856.0,idle
68.0,504.0,842.0,idle
65.0,537.0,867.0,idle
71.0,516.0,877.0,idle
74.0,474.0,842.0,idle
96.0,433.0,839.0,idle
112.0,427.0,850.0,idle
119.0,429.0,846.0,idle
116.0,447.0,833.0,idle
107.0,472.0,860.0,idle
101.0,478.0,872.0,idle
99.0,474.0,876.0,idle
100.0,485.0,889.0,idle
99.0,501.0,887.0,idle
100.0,503.0,891.0,idle
103.0,498.0,900.0,idle
105.0,494.0,889.0,idle
100.0,502.0,878.0,idle
101.0,513.0,882.0,idle
94.0,526.0,869.0,idle
89.0,532.0,855.0,idle
83.0,531.0,850.0,idle
76.0,541.0,840.0,idle
70.0,550.0,835.0,idle
63.0,537.0,822.0,idle
72.0,517.0,819.0,idle
86.0,508.0,835.0,idle
94.0,507.0,854.0,idle
89.0,527.0,859.0,idle
89.0,527.0,872.0,idle
100.0,515.0,875.0,idle
107.0,504.0,869.0,idle
102.0,505.0,857.0,idle
97.0,507.0,849.0,idle
97.0,511.0,851.0,idle
103.0,505.0,854.0,idle
101.0,505.0,853.0,idle
93.0,511.0,853.0,idle
87.0,522.0,854.0,idle
92.0,514.0,857.0,idle
96.0,506.0,862.0,idle
94.0,511.0,867.0,idle
92.0,516.0,869.0,idle
96.0,526.0,871.0,idle
95.0,545.0,879.0,idle
89.0,567.0,891.0,idle
91.0,566.0,885.0,idle
85.0,548.0,868.0,idle
78.0,544.0,862.0,idle
74.0,526.0,854.0,idle
79.0,511.0,853.0,idle
83.0,510.0,851.0,idle
80.0,526.0,854.0,idle
76.0,518.0,856.0,idle
87.0,504.0,845.0,idle
86.0,504.0,833.0,idle
82.0,498.0,825.0,idle
85.0,495.0,823.0,idle
88.0,508.0,841.0,idle
91.0,497.0,858.0,idle
95.0,505.0,877.0,idle
84.0,525.0,895.0,idle
82.0,540.0,897.0,idle
90.0,533.0,893.0,idle
94.0,524.0,894.0,idle
106.0,506.0,877.0,idle
94.0,533.0,878.0,idle
81.0,552.0,874.0,idle
91.0,534.0,859.0,idle
92.0,547.0,865.0,idle
81.0,555.0,867.0,idle
74.0,562.0,867.0,idle
77.0,535.0,870.0,idle
105.0,498.0,855.0,idle
99.0,492.0,857.0,idle
121.0,477.0,874.0,idle
165.0,442.0,880.0,idle
155.0,423.0,890.0,idle
142.0,435.0,861.0,idle
125.0,454.0,842.0,idle
121.0,507.0,776.0,idle
116.0,495.0,949.0,idle
122.0,415.0,931.0,idle
103.0,421.0,881.0,idle
91.0,439.0,889.0,idle
81.0,472.0,896.0,idle
97.0,447.0,893.0,idle
97.0,432.0,881.0,idle
101.0,461.0,903.0,idle
103.0,467.0,948.0,idle
103.0,463.0,946.0,idle
98.0,451.0,928.0,idle
85.0,454.0,909.0,idle
71.0,463.0,890.0,idle
74.0,463.0,856.0,idle
54.0,467.0,849.0,idle
52.0,463.0,860.0,idle
65.0,462.0,881.0,idle
74.0,463.0,907.0,idle
77.0,453.0,942.0,idle
86.0,449.0,940.0,idle
84.0,393.0,885.0,idle
76.0,391.0,836.0,idle
89.0,389.0,823.0,idle
84.0,407.0,831.0,idle
76.0,421.0,858.0,idle
85.0,444.0,870.0,idle
78.0,456.0,883.0,idle
57.0,465.0,899.0,idle
93.0,443.0,900.0,idle
96.0,430.0,889.0,idle
91.0,435.0,912.0,idle
110.0,416.0,923.0,idle
124.0,403.0,918.0,idle
98.0,430.0,918.0,idle
111.0,434.0,912.0,idle
105.0,430.0,894.0,idle
76.0,450.0,874.0,idle
54.0,481.0,877.0,idle
63.0,479.0,905.0,idle
80.0,430.0,898.0,idle
88.0,424.0,916.0,idle
93.0,420.0,944.0,idle
75.0,407.0,955.0,idle
67.0,402.0,931.0,idle
77.0,423.0,926.0,idle
77.0,432.0,937.0,idle
121.0,417.0,921.0,idle
128.0,415.0,896.0,idle
126.0,423.0,870.0,idle
127.0,440.0,849.0,idle
127.0,451.0,850.0,idle
127.0,462.0,833.0,idle
142.0,461.0,830.0,idle
136.0,479.0,844.0,idle
161.0,479.0,837.0,idle
164.0,488.0,823.0,idle
162.0,493.0,809.0,idle
151.0,508.0,809.0,idle
152.0,541.0,846.0,idle
199.0,553.0,872.0,idle
212.0,560.0,881.0,idle
203.0,590.0,864.0,idle
200.0,601.0,835.0,idle
152.0,615.0,805.0,idle
123.0,638.0,784.0,idle
120.0,664.0,786.0,idle
140.0,660.0,759.0,idle
164.0,639.0,724.0,idle
172.0,637.0,694.0,idle
176.0,640.0,664.0,idle
185.0,636.0,662.0,idle
178.0,650.0,657.0,idle
137.0,692.0,667.0,idle
81.0,751.0,695.0,idle
134.0,728.0,705.0,idle
138.0,700.0,690.0,idle
152.0,694.0,692.0,idle
158.0,694.0,696.0,idle
127.0,710.0,677.0,idle
71.0,754.0,650.0,idle
56.0,778.0,640.0,idle
65.0,808.0,645.0,idle
85.0,819.0,694.0,idle
107.0,817.0,728.0,idle
118.0,801.0,700.0,idle
120.0,782.0,692.0,idle
116.0,802.0,685.0,idle
62.0,848.0,656.0,idle
32.0,877.0,620.0,idle
45.0,874.0,595.0,idle
65.0,862.0,603.0,idle
65.0,844.0,600.0,idle
74.0,817.0,574.0,idle
64.0,800.0,532.0,idle
18.0,833.0,468.0,idle
-10.0,852.0,374.0,idle
-12.0,854.0,371.0,idle
-26.0,809.0,361.0,idle
-38.0,871.0,375.0,idle
-21.0,912.0,458.0,idle
5.0,945.0,506.0,idle
13.0,944.0,474.0,idle
13.0,924.0,440.0,idle
3.0,919.0,443.0,idle
6.0,928.0,411.0,idle
-11.0,949.0,392.0,idle
-7.0,957.0,385.0,idle
-5.0,943.0,368.0,idle
-11.0,944.0,354.0,idle
-14.0,955.0,340.0,idle
-14.0,959.0,345.0,idle
-4.0,963.0,351.0,idle
14.0,957.0,390.0,idle
21.0,956.0,399.0,idle
11.0,944.0,371.0,idle
-1.0,932.0,353.0,idle
-10.0,932.0,331.0,idle
-16.0,935.0,318.0,idle
-24.0,935.0,305.0,idle
-16.0,937.0,308.0,idle
-3.0,936.0,319.0,idle
-8.0,941.0,308.0,idle
-26.0,944.0,278.0,idle
-34.0,949.0,272.0,idle
-33.0,955.0,269.0,idle
-28.0,972.0,275.0,idle
-20.0,995.0,297.0,idle
-5.0,1011.0,324.0,idle
-1.0,1010.0,318.0,idle
-4.0,1002.0,307.0,idle
-11.0,998.0,283.0,idle
-27.0,991.0,258.0,idle
-33.0,971.0,224.0,idle
-37.0,948.0,211.0,idle
-34.0,941.0,200.0,idle
-25.0,948.0,214.0,idle
-23.0,963.0,227.0,idle
-32.0,980.0,229.0,idle
-50.0,978.0,211.0,idle
-62.0,978.0,194.0,idle
-70.0,985.0,179.0,idle
-88.0,985.0,160.0,idle
-83.0,992.0,160.0,idle
-81.0,995.0,167.0,idle
-79.0,985.0,166.0,idle
-75.0,972.0,164.0,idle
-66.0,965.0,169.0,idle
-58.0,971.0,179.0,idle
-52.0,1003.0,198.0,idle
-52.0,1031.0,212.0,idle
-50.0,1024.0,195.0,idle
-54.0,1011.0,178.0,idle
-61.0,1008.0,162.0,idle
-67.0,1000.0,137.0,idle
-64.0,991.0,126.0,idle
-54.0,1009.0,128.0,idle
-61.0,1004.0,120.0,idle
